"Date","Building","Strategy","MAPE"
2013-02-08,"HSH","VFD",0.276534029989419
2013-02-12,"HSH","VFD",0.206576489950843
2013-02-14,"HSH","VFD",0.365819893120317
2013-02-26,"HSH","GTR & VFD",0.462275679518618
2013-02-28,"HSH","GTR & VFD",0.676383382896617
2013-03-04,"HSH","GTR",0.0696653274440159
2013-03-06,"HSH","GTR",0.0690362101126231
2013-03-08,"HSH","GTR",0.131889082016921
2013-03-12,"HSH","GTR",0.0889039551066103
2013-03-20,"HSH","VFD",0.519584176802952
2013-03-22,"HSH","VFD",0.727032449090878
2013-03-26,"HSH","VFD",0.430841406611639
2013-03-28,"HSH","VFD",0.504910344124097
2013-04-01,"HSH","GTR & VFD",0.499458860317431
2013-04-03,"HSH","GTR & VFD",0.579256546026868
2013-04-05,"HSH","GTR & VFD",0.984009365908421
2013-04-09,"HSH","GTR & VFD",0.567149208935626
2013-04-11,"HSH","GTR & VFD",0.64058886978212
2013-10-22,"HSH","GTR",0.0839666286948268
2013-10-24,"HSH","GTR",0.0889522335587895
2013-10-28,"HSH","VFD",0.203600958203797
2013-11-01,"HSH","VFD",0.362624918324903
2013-11-05,"HSH","VFD",0.305947718129665
2013-11-07,"HSH","VFD",0.370685471158674
2013-11-11,"HSH","GTR & VFD",0.309099904233079
2013-11-13,"HSH","GTR & VFD",0.449454630001779
2013-11-15,"HSH","GTR & VFD",0.218085042928134
2013-11-19,"HSH","GTR & VFD",0.273908714119801
2013-11-21,"HSH","GTR & VFD",0.268386082332575
2013-12-02,"HSH","GTR",0.0479822189956075
2013-12-06,"HSH","GTR",0.0617782974269853
2013-10-22,"JHH","DUTY",0.0357221338627516
2013-10-24,"JHH","DUTY",0.0743412791015357
2013-10-28,"JHH","DUTY",0.166033395633504
2013-11-01,"JHH","DUTY",0.095864280113476
2013-03-18,"JKP","VFD",0.073305675370535
2013-03-20,"JKP","VFD",0.134226579248316
2013-03-22,"JKP","VFD",0.0394140732579074
2013-03-26,"JKP","VFD",0.110537874182919
2013-03-28,"JKP","VFD",0.0302136710641348
2013-10-24,"JKP","VFD",0.0514725883317613
